treatment,plant,leaf,inquiline,date,count,
a1,13,1,other,19990615,0,
a1,13,1,rotvol ml,19990615,0.5,
a1,13,1,Sarraceniopus,19990615,0,
a1,13,1,volume ml,19990615,1,
a1,13,1,Wyeomyia,19990615,0,
a2,14,1,Blaesoxipha,19990615,,
a2,14,1,Habrotrocha,19990615,,
a2,14,1,headcap,19990615,,
a2,14,1,Metriocnemus,19990615,,
a2,14,1,other,19990615,,
a2,14,1,rotvol ml,19990615,,
a2,14,1,Sarraceniopus,19990615,,
a2,14,1,volume ml,19990615,,
a2,14,1,Wyeomyia,19990615,,
a3,15,1,Blaesoxipha,19990615,,
a3,15,1,Habrotrocha,19990615,,
a3,15,1,headcap,19990615,,
a3,15,1,Metriocnemus,19990615,,
a3,15,1,other,19990615,,
a3,15,1,rot,19990615,,
a3,15,1,Sarraceniopus,19990615,,
a3,15,1,volume ml,19990615,,
a3,15,1,Wyeomyia,19990615,,
a4,16,1,Blaesoxipha,19990615,1,
a4,16,1,Habrotrocha,19990615,0,
a4,16,1,headcap,19990615,,
a4,16,1,Metriocnemus,19990615,0,
a4,16,1,other,19990615,0,
a4,16,1,rotvol ml,19990615,0.5,
a4,16,1,Sarraceniopus,19990615,1,
a4,16,1,volume ml,19990615,3,
a4,16,1,Wyeomyia,19990615,0,
a4,16,2,Blaesoxipha,19990615,,
a4,16,2,Habrotrocha,19990615,,
a4,16,2,headcap,19990615,,
a4,16,2,Metriocnemus,19990615,,
a4,16,2,other,19990615,,
a4,16,2,rotvol ml,19990615,,
a4,16,2,Sarraceniopus,19990615,,
a4,16,2,volume ml,19990615,,
a4,16,2,Wyeomyia,19990615,,
a4,16,3,Blaesoxipha,19990615,,
a4,16,3,Habrotrocha,19990615,,
a4,16,3,headcap,19990615,,
a4,16,3,Metriocnemus,19990615,,
a4,16,3,other,19990615,,
a4,16,3,rotvol ml,19990615,,
a4,16,3,Sarraceniopus,19990615,,
a4,16,3,volume ml,19990615,,
a4,16,3,Wyeomyia,19990615,,
a4,16,4,Blaesoxipha,19990615,,
a4,16,4,Habrotrocha,19990615,,
a4,16,4,headcap,19990615,,
a4,16,4,Metriocnemus,19990615,,
a4,16,4,other,19990615,,
a4,16,4,rotvol ml,19990615,,
a4,16,4,Sarraceniopus,19990615,,
a4,16,4,volume ml,19990615,,
a4,16,4,Wyeomyia,19990615,,
a1,17,1,Blaesoxipha,19990615,1,
a1,17,1,Habrotrocha,19990615,0,
a1,17,1,headcap,19990615,0,
a1,17,1,Metriocnemus,19990615,1,
a1,17,1,other,19990615,0,
a1,17,1,rotvol ml,19990615,0.5,
a1,17,1,Sarraceniopus,19990615,0,
a1,17,1,volume ml,19990615,3,
a1,17,1,Wyeomyia,19990615,0,
a2,18,1,Blaesoxipha,19990615,,
a2,18,1,Habrotrocha,19990615,,
a2,18,1,headcap,19990615,,
a2,18,1,Metriocnemus,19990615,,
a2,18,1,other,19990615,,
a2,18,1,rotvol ml,19990615,,
a2,18,1,Sarraceniopus,19990615,,
a2,18,1,volume ml,19990615,,
a2,18,1,Wyeomyia,19990615,,
a3,19,1,Blaesoxipha,19990615,,
a3,19,1,Habrotrocha,19990615,,
a3,19,1,headcap,19990615,,
a3,19,1,Metriocnemus,19990615,,
a3,19,1,other,19990615,,
a3,19,1,rotvol ml,19990615,,
a3,19,1,Sarraceniopus,19990615,,
a3,19,1,volume ml,19990615,,
a3,19,1,Wyeomyia,19990615,,
a4,20,1,Blaesoxipha,19990615,0,
a4,20,1,Habrotrocha,19990615,1,
a4,20,1,headcap,19990615,1,
a4,20,1,Metriocnemus,19990615,0,
a4,20,1,other,19990615,0,
a4,20,1,rotvol ml,19990615,0.5,
a4,20,1,Sarraceniopus,19990615,0,
a4,20,1,volume ml,19990615,2,
a4,20,1,Wyeomyia,19990615,0,
a4,20,2,Blaesoxipha,19990615,,
a4,20,2,Habrotrocha,19990615,,
a4,20,2,headcap,19990615,,
a4,20,2,Metriocnemus,19990615,,
a4,20,2,other,19990615,,
a4,20,2,rotvol ml,19990615,,
a4,20,2,Sarraceniopus,19990615,,
a4,20,2,volume ml,19990615,,
a4,20,2,Wyeomyia,19990615,,
a4,20,3,Blaesoxipha,19990615,,
a4,20,3,Habrotrocha,19990615,,
a4,20,3,headcap,19990615,,
a4,20,3,Metriocnemus,19990615,,
a4,20,3,other,19990615,,
a4,20,3,rotvol ml,19990615,,
a4,20,3,Sarraceniopus,19990615,,
a4,20,3,volume ml,19990615,,
a4,20,3,Wyeomyia,19990615,,
a4,20,4,Blaesoxipha,19990615,,
a4,20,4,Habrotrocha,19990615,,
a4,20,4,headcap,19990615,,
a4,20,4,Metriocnemus,19990615,,
a4,20,4,other,19990615,,
a4,20,4,rotvol ml,19990615,,
a4,20,4,Sarraceniopus,19990615,,
a4,20,4,volume ml,19990615,,
a4,20,4,Wyeomyia,19990615,,
a1,21,1,Blaesoxipha,19990615,0,
a1,21,1,Habrotrocha,19990615,0,
a1,21,1,headcap,19990615,0,
a1,21,1,Metriocnemus,19990615,1,
a1,21,1,other,19990615,0,
a1,21,1,rotvol ml,19990615,0.5,
a1,21,1,Sarraceniopus,19990615,0,
a1,21,1,volume ml,19990615,1,
a1,21,1,Wyeomyia,19990615,0,
a2,22,1,Blaesoxipha,19990615,,
a2,22,1,Habrotrocha,19990615,,
a2,22,1,headcap,19990615,,
a2,22,1,Metriocnemus,19990615,,
a2,22,1,other,19990615,,
a2,22,1,rot,19990615,,
a2,22,1,Sarraceniopus,19990615,,
a2,22,1,volume ml,19990615,,
a2,22,1,Wyeomyia,19990615,,
a3,23,1,Blaesoxipha,19990615,,
a3,23,1,Habrotrocha,19990615,,
a3,23,1,headcap,19990615,,
a3,23,1,Metriocnemus,19990615,,
a3,23,1,other,19990615,,
a3,23,1,rotvol ml,19990615,,
a3,23,1,Sarraceniopus,19990615,,
a3,23,1,volume ml,19990615,,
a3,23,1,Wyeomyia,19990615,,
a4,24,1,Blaesoxipha,19990615,0,
a4,24,1,Habrotrocha,19990615,0,
a4,24,1,headcap,19990615,0,
a4,24,1,Metriocnemus,19990615,0,
a4,24,1,other,19990615,0,
a4,24,1,rotvol ml,19990615,0.5,
a4,24,1,Sarraceniopus,19990615,0,
a4,24,1,volume ml,19990615,3,
a4,24,1,Wyeomyia,19990615,0,
a4,24,2,Blaesoxipha,19990615,,
a4,24,2,Habrotrocha,19990615,,
a4,24,2,headcap,19990615,,
a4,24,2,Metriocnemus,19990615,,
a4,24,2,other,19990615,,
a4,24,2,rotvol ml,19990615,,
a4,24,2,Sarraceniopus,19990615,,
a4,24,2,volume ml,19990615,,
a4,24,2,Wyeomyia,19990615,,
a4,24,3,Blaesoxipha,19990615,,
a4,24,3,Habrotrocha,19990615,,
a4,24,3,headcap,19990615,,
a4,24,3,Metriocnemus,19990615,,
a4,24,3,other,19990615,,
a4,24,3,rotvol ml,19990615,,
a4,24,3,Sarraceniopus,19990615,,
a4,24,3,volume ml,19990615,,
a4,24,3,Wyeomyia,19990615,,
a1,25,1,Blaesoxipha,19990615,1,
a1,25,1,Habrotrocha,19990615,0,
a1,25,1,headcap,19990615,0,
a1,25,1,Metriocnemus,19990615,0,
a1,25,1,other,19990615,0,
a1,25,1,rotvol ml,19990615,0.5,
a1,25,1,Sarraceniopus,19990615,0,
a1,25,1,volume ml,19990615,2,
a1,25,1,Wyeomyia,19990615,0,
a2,26,1,Blaesoxipha,19990615,,
a2,26,1,Habrotrocha,19990615,,
a2,26,1,headcap,19990615,,
a2,26,1,Metriocnemus,19990615,,
a2,26,1,other,19990615,,
a2,26,1,rotvol ml,19990615,,
a2,26,1,Sarraceniopus,19990615,,
a2,26,1,volume ml,19990615,,
a2,26,1,Wyeomyia,19990615,,
a3,27,1,Blaesoxipha,19990615,,
a3,27,1,Habrotrocha,19990615,,
a3,27,1,headcap,19990615,,
a3,27,1,Metriocnemus,19990615,,
a3,27,1,other,19990615,,
a3,27,1,rotvol ml,19990615,,
a3,27,1,Sarraceniopus,19990615,,
a3,27,1,volume ml,19990615,,
a3,27,1,Wyeomyia,19990615,,
a4,28,1,Blaesoxipha,19990615,1,
a4,28,1,Habrotrocha,19990615,0,
a4,28,1,headcap,19990615,4,
a4,28,1,Metriocnemus,19990615,0,
a4,28,1,other,19990615,0,
a4,28,1,rotvol ml,19990615,0.5,
a4,28,1,Sarraceniopus,19990615,0,
a4,28,1,volume ml,19990615,2,
a4,28,1,Wyeomyia,19990615,0,
a4,28,2,Blaesoxipha,19990615,,
a4,28,2,Habrotrocha,19990615,,
a4,28,2,headcap,19990615,,
a4,28,2,Metriocnemus,19990615,,
a4,28,2,other,19990615,,
a4,28,2,rotvol ml,19990615,,
a4,28,2,Sarraceniopus,19990615,,
a4,28,2,volume ml,19990615,,
a4,28,2,Wyeomyia,19990615,,
a4,28,3,Blaesoxipha,19990615,,
a4,28,3,Habrotrocha,19990615,,
a4,28,3,headcap,19990615,,
a4,28,3,Metriocnemus,19990615,,
a4,28,3,other,19990615,,
a4,28,3,rotvol ml,19990615,,
a4,28,3,Sarraceniopus,19990615,,
a4,28,3,volume ml,19990615,,
a4,28,3,Wyeomyia,19990615,,
a4,28,4,Blaesoxipha,19990615,,
a4,28,4,Habrotrocha,19990615,,
a4,28,4,headcap,19990615,,
a4,28,4,Metriocnemus,19990615,,
a4,28,4,other,19990615,,
a4,28,4,rotvol ml,19990615,,
a4,28,4,Sarraceniopus,19990615,,
a4,28,4,volume ml,19990615,,
a4,28,4,Wyeomyia,19990615,,
a4,28,5,Blaesoxipha,19990615,,
a4,28,5,Habrotrocha,19990615,,
a4,28,5,headcap,19990615,,
a4,28,5,Metriocnemus,19990615,,
a4,28,5,other,19990615,,
a4,28,5,rotvol ml,19990615,,
a4,28,5,Sarraceniopus,19990615,,
a4,28,5,volume ml,19990615,,
a4,28,5,Wyeomyia,19990615,,
a1,29,1,Blaesoxipha,19990615,0,
a1,29,1,Habrotrocha,19990615,0,
a1,29,1,headcap,19990615,1,
a1,29,1,Metriocnemus,19990615,0,
a1,29,1,other,19990615,1,
a1,29,1,rotvol ml,19990615,0.5,
a1,29,1,Sarraceniopus,19990615,0,
a1,29,1,volume ml,19990615,3,
a1,29,1,Wyeomyia,19990615,0,
a2,30,1,Blaesoxipha,19990615,,
a2,30,1,Habrotrocha,19990615,,
a2,30,1,headcap,19990615,,
a2,30,1,Metriocnemus,19990615,,
a2,30,1,other,19990615,,
a2,30,1,rotvol ml,19990615,,
a2,30,1,Sarraceniopus,19990615,,
a2,30,1,volume ml,19990615,,
a2,30,1,Wyeomyia,19990615,,
a3,31,1,Blaesoxipha,19990615,,
a3,31,1,Habrotrocha,19990615,,
a3,31,1,headcap,19990615,,
a3,31,1,Metriocnemus,19990615,,
a3,31,1,other,19990615,,
a3,31,1,rotvol ml,19990615,,
a3,31,1,Sarraceniopus,19990615,,
a3,31,1,volume ml,19990615,,
a3,31,1,Wyeomyia,19990615,,
a4,32,1,Blaesoxipha,19990615,1,
a4,32,1,Habrotrocha,19990615,0,
a4,32,1,headcap,19990615,0,
a4,32,1,Metriocnemus,19990615,0,
a4,32,1,other,19990615,0,
a4,32,1,rotvol ml,19990615,0.5,
a4,32,1,Sarraceniopus,19990615,0,
a4,32,1,volume ml,19990615,2,
a4,32,1,Wyeomyia,19990615,0,
a4,32,2,Blaesoxipha,19990615,,
a4,32,2,Habrotrocha,19990615,,
a4,32,2,headcap,19990615,,
a4,32,2,Metriocnemus,19990615,,
a4,32,2,other,19990615,,
a4,32,2,rotvol ml,19990615,,
a4,32,2,Sarraceniopus,19990615,,
a4,32,2,volume ml,19990615,,
a4,32,2,Wyeomyia,19990615,,
a4,32,3,Blaesoxipha,19990615,,
a4,32,3,Habrotrocha,19990615,,
a4,32,3,headcap,19990615,,
a4,32,3,Metriocnemus,19990615,,
a4,32,3,other,19990615,,
a4,32,3,rotvol ml,19990615,,
a4,32,3,Sarraceniopus,19990615,,
a4,32,3,volume ml,19990615,,
a4,32,3,Wyeomyia,19990615,,
a1,33,1,Blaesoxipha,19990615,,
a1,33,1,Habrotrocha,19990615,,
a1,33,1,headcap,19990615,,
a1,33,1,Metriocnemus,19990615,,
a1,33,1,other,19990615,,
a1,33,1,rotvol ml,19990615,,
a1,33,1,Sarraceniopus,19990615,,
a1,33,1,volume ml,19990615,0,
a1,33,1,Wyeomyia,19990615,,
a2,34,1,Blaesoxipha,19990615,,
a2,34,1,Habrotrocha,19990615,,
a2,34,1,headcap,19990615,,
a2,34,1,Metriocnemus,19990615,,
a2,34,1,other,19990615,,
a2,34,1,rotvol ml,19990615,,
a2,34,1,Sarraceniopus,19990615,,
a2,34,1,volume ml,19990615,,
a2,34,1,Wyeomyia,19990615,,
a3,35,1,Blaesoxipha,19990615,,
a3,35,1,Habrotrocha,19990615,,
a3,35,1,headcap,19990615,,
a3,35,1,Metriocnemus,19990615,,
a3,35,1,other,19990615,,
a3,35,1,rotvol ml,19990615,,
a3,35,1,Sarraceniopus,19990615,,
a3,35,1,volume ml,19990615,,
a3,35,1,Wyeomyia,19990615,,
a4,36,1,Blaesoxipha,19990615,0,
a4,36,1,Habrotrocha,19990615,0,
a4,36,1,headcap,19990615,2,
a4,36,1,Metriocnemus,19990615,0,
a4,36,1,other,19990615,0,
a4,36,1,rotvol ml,19990615,0.5,
a4,36,1,Sarraceniopus,19990615,1,
a4,36,1,volume ml,19990615,2,
a4,36,1,Wyeomyia,19990615,0,
a4,36,2,Blaesoxipha,19990615,,
a4,36,2,Habrotrocha,19990615,,
a4,36,2,headcap,19990615,,
a4,36,2,Metriocnemus,19990615,,
a4,36,2,other,19990615,,
a4,36,2,rotvol ml,19990615,,
a4,36,2,Sarraceniopus,19990615,,
a4,36,2,volume ml,19990615,,
a4,36,2,Wyeomyia,19990615,,
a4,36,3,Blaesoxipha,19990615,,
a4,36,3,Habrotrocha,19990615,,
a4,36,3,headcap,19990615,,
a4,36,3,Metriocnemus,19990615,,
a4,36,3,other,19990615,,
a4,36,3,rotvol ml,19990615,,
a4,36,3,Sarraceniopus,19990615,,
a4,36,3,volume ml,19990615,,
a4,36,3,Wyeomyia,19990615,,
a4,36,4,Blaesoxipha,19990615,,
a4,36,4,Habrotrocha,19990615,,
a4,36,4,headcap,19990615,,
a4,36,4,Metriocnemus,19990615,,
a4,36,4,other,19990615,,
a4,36,4,rotvol ml,19990615,,
a4,36,4,Sarraceniopus,19990615,,
a4,36,4,volume ml,19990615,,
a4,36,4,Wyeomyia,19990615,,
a1,37,1,Blaesoxipha,19990615,,
a1,37,1,Habrotrocha,19990615,,
a1,37,1,headcap,19990615,,
a1,37,1,Metriocnemus,19990615,,
a1,37,1,other,19990615,,
a1,37,1,rotvol ml,19990615,,
a1,37,1,Sarraceniopus,19990615,,
a1,37,1,volume ml,19990615,,
a1,37,1,Wyeomyia,19990615,,
a2,38,1,Blaesoxipha,19990615,,
a2,38,1,Habrotrocha,19990615,,
a2,38,1,headcap,19990615,,
a2,38,1,Metriocnemus,19990615,,
a2,38,1,other,19990615,,
a2,38,1,rotvol ml,19990615,,
a2,38,1,Sarraceniopus,19990615,,
a2,38,1,volume ml,19990615,,
a2,38,1,Wyeomyia,19990615,,
a3,39,1,Blaesoxipha,19990615,,
a3,39,1,Habrotrocha,19990615,,
a3,39,1,headcap,19990615,,
a3,39,1,Metriocnemus,19990615,,
a3,39,1,other,19990615,,
a3,39,1,rotvol ml,19990615,,
a3,39,1,Sarraceniopus,19990615,,
a3,39,1,volume ml,19990615,,
a3,39,1,Wyeomyia,19990615,,
a4,40,1,Blaesoxipha,19990615,1,
a4,40,1,Habrotrocha,19990615,0,
a4,40,1,headcap,19990615,1,
a4,40,1,Metriocnemus,19990615,0,
a4,40,1,other,19990615,0,
a4,40,1,rotvol ml,19990615,0.5,
a4,40,1,Sarraceniopus,19990615,0,
a4,40,1,volume ml,19990615,3,
a4,40,1,Wyeomyia,19990615,0,
a4,40,2,Blaesoxipha,19990615,,
a4,40,2,Habrotrocha,19990615,,
a4,40,2,headcap,19990615,,
a4,40,2,Metriocnemus,19990615,,
a4,40,2,other,19990615,,
a4,40,2,rot,19990615,,
a4,40,2,Sarraceniopus,19990615,,
a4,40,2,volume ml,19990615,,
a4,40,2,Wyeomyia,19990615,,
a4,40,3,Blaesoxipha,19990615,,
a4,40,3,Habrotrocha,19990615,,
a4,40,3,headcap,19990615,,
a4,40,3,Metriocnemus,19990615,,
a4,40,3,other,19990615,,
a4,40,3,rot,19990615,,
a4,40,3,Sarraceniopus,19990615,,
a4,40,3,volume ml,19990615,,
a4,40,3,Wyeomyia,19990615,,
a1,41,1,Blaesoxipha,19990615,0,
a1,41,1,Habrotrocha,19990615,0,
a1,41,1,headcap,19990615,0,
a1,41,1,Metriocnemus,19990615,0,
a1,41,1,other,19990615,0,
a1,41,1,rotvol ml,19990615,0.5,
a1,41,1,Sarraceniopus,19990615,2,
a1,41,1,volume ml,19990615,0.3,
a1,41,1,Wyeomyia,19990615,0,
a2,42,1,Blaesoxipha,19990615,,
a2,42,1,Habrotrocha,19990615,,
a2,42,1,headcap,19990615,,
a2,42,1,Metriocnemus,19990615,,
a2,42,1,other,19990615,,
a2,42,1,rotvol ml,19990615,,
a2,42,1,Sarraceniopus,19990615,,
a2,42,1,volume ml,19990615,,
a2,42,1,Wyeomyia,19990615,,
a3,43,1,Blaesoxipha,19990615,,
a3,43,1,Habrotrocha,19990615,,
a3,43,1,headcap,19990615,,
a3,43,1,Metriocnemus,19990615,,
a3,43,1,other,19990615,,
a3,43,1,rotvol ml,19990615,,
a3,43,1,Sarraceniopus,19990615,,
a3,43,1,volume ml,19990615,,
a3,43,1,Wyeomyia,19990615,,
a4,44,1,Blaesoxipha,19990615,,
a4,44,1,Habrotrocha,19990615,,
a4,44,1,headcap,19990615,,
a4,44,1,Metriocnemus,19990615,,
a4,44,1,other,19990615,,
a4,44,1,rotvol ml,19990615,,
a4,44,1,Sarraceniopus,19990615,,
a4,44,1,volume ml,19990615,,
a4,44,1,Wyeomyia,19990615,,
a4,44,2,Blaesoxipha,19990615,,
a4,44,2,Habrotrocha,19990615,,
a4,44,2,headcap,19990615,,
a4,44,2,Metriocnemus,19990615,,
a4,44,2,other,19990615,,
a4,44,2,rotvol ml,19990615,,
a4,44,2,Sarraceniopus,19990615,,
a4,44,2,volume ml,19990615,,
a4,44,2,Wyeomyia,19990615,,
a4,44,3,Blaesoxipha,19990615,,
a4,44,3,Habrotrocha,19990615,,
a4,44,3,headcap,19990615,,
a4,44,3,Metriocnemus,19990615,,
a4,44,3,other,19990615,,
a4,44,3,rotvol ml,19990615,,
a4,44,3,Sarraceniopus,19990615,,
a4,44,3,volume ml,19990615,,
a4,44,3,Wyeomyia,19990615,,
a1,45,1,Blaesoxipha,19990615,1,
a1,45,1,Habrotrocha,19990615,0,
a1,45,1,headcap,19990615,2,
a1,45,1,Metriocnemus,19990615,0,
a1,45,1,other,19990615,0,
a1,45,1,rotvol ml,19990615,0.5,
a1,45,1,Sarraceniopus,19990615,0,
a1,45,1,volume ml,19990615,2,
a1,45,1,Wyeomyia,19990615,0,
a2,46,1,Blaesoxipha,19990615,,
a2,46,1,Habrotrocha,19990615,,
a2,46,1,headcap,19990615,,
a2,46,1,Metriocnemus,19990615,,
a2,46,1,other,19990615,,
a2,46,1,rot,19990615,,
a2,46,1,Sarraceniopus,19990615,,
a2,46,1,volume ml,19990615,,
a2,46,1,Wyeomyia,19990615,,
a3,47,1,Blaesoxipha,19990615,,
a3,47,1,Habrotrocha,19990615,,
a3,47,1,headcap,19990615,,
a3,47,1,Metriocnemus,19990615,,
a3,47,1,other,19990615,,
a3,47,1,rotvol ml,19990615,,
a3,47,1,Sarraceniopus,19990615,,
a3,47,1,volume ml,19990615,,
a3,47,1,Wyeomyia,19990615,,
a4,48,1,Blaesoxipha,19990615,,
a4,48,1,Habrotrocha,19990615,,
a4,48,1,headcap,19990615,,
a4,48,1,Metriocnemus,19990615,,
a4,48,1,other,19990615,,
a4,48,1,rotvol ml,19990615,,
a4,48,1,Sarraceniopus,19990615,,
a4,48,1,volume ml,19990615,,
a4,48,1,Wyeomyia,19990615,,
a4,48,2,Blaesoxipha,19990615,,
a4,48,2,Habrotrocha,19990615,,
a4,48,2,headcap,19990615,,
a4,48,2,Metriocnemus,19990615,,
a4,48,2,other,19990615,,
a4,48,2,rot,19990615,,
a4,48,2,Sarraceniopus,19990615,,
a4,48,2,volume ml,19990615,,
a4,48,2,Wyeomyia,19990615,,
a4,48,3,Blaesoxipha,19990615,,
a4,48,3,Habrotrocha,19990615,,
a4,48,3,headcap,19990615,,
a4,48,3,Metriocnemus,19990615,,
a4,48,3,other,19990615,,
a4,48,3,rot,19990615,,
