treatment,plant,leaf,inquiline,date,count,,,,,,,,,,,,,,
a1,5,1,Sarraceniopus,19990615,0,,,,,,,,,,,,,,
a1,5,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,5,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,5,1,headcap,19990615,0,,,,,,,,,,,,,,
a1,5,1,other,19990615,0,,,,,,,,,,,,,,
a1,5,1,volume ml,19990615,1,,,,,,,,,,,,,,
a1,6,1,Wyeomyia,19990615,1,,,,,,,,,,,,,,
a1,6,1,Metriocnemus,19990615,1,,,,,,,,,,,,,,
a1,6,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,6,1,Sarraceniopus,19990615,3,,,,,,,,,,,,,,
a1,6,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,6,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,6,1,headcap,19990615,0,,,,,,,,,,,,,,
a1,6,1,other,19990615,0,,,,,,,,,,,,,,
a1,6,1,volume ml,19990615,2,,,,,,,,,,,,,,
a1,7,1,Wyeomyia,19990615,0,,,,,,,,,,,,,,
a1,7,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,7,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,7,1,Sarraceniopus,19990615,0,,,,,,,,,,,,,,
a1,7,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,7,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,7,1,headcap,19990615,1,,,,,,,,,,,,,,
a1,7,1,other,19990615,0,,,,,,,,,,,,,,
a1,7,1,volume ml,19990615,2,,,,,,,,,,,,,,
a1,8,1,Wyeomyia,19990615,0,,,,,,,,,,,,,,
a1,8,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,8,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,8,1,Sarraceniopus,19990615,0,,,,,,,,,,,,,,
a1,8,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,8,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,8,1,headcap,19990615,0,,,,,,,,,,,,,,
a1,8,1,other,19990615,0,,,,,,,,,,,,,,
a1,8,1,volume ml,19990615,2.2,,,,,,,,,,,,,,
a1,9,1,Wyeomyia,19990615,0,,,,,,,,,,,,,,
a1,9,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,9,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,9,1,Sarraceniopus,19990615,0,,,,,,,,,,,,,,
a1,9,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,9,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,9,1,headcap,19990615,2,,,,,,,,,,,,,,
a1,9,1,other,19990615,0,,,,,,,,,,,,,,
a1,9,1,volume ml,19990615,2.6,,,,,,,,,,,,,,
a1,10,1,Wyeomyia,19990615,2,,,,,,,,,,,,,,
a1,10,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,10,1,Blaesoxipha,19990615,1,,,,,,,,,,,,,,
a1,10,1,Sarraceniopus,19990615,0,,,,,,,,,,,,,,
a1,10,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,10,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,10,1,headcap,19990615,8,,,,,,,,,,,,,,
a1,10,1,other,19990615,0,,,,,,,,,,,,,,
a1,10,1,volume ml,19990615,6.5,,,,,,,,,,,,,,
a1,11,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a1,11,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a1,11,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a1,11,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a1,11,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a1,11,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a1,11,1,headcap,19990615,,,,,,,,,,,,,,,
a1,11,1,other,19990615,,,,,,,,,,,,,,,
a1,11,1,volume ml,19990615,0,,,,,,,,,,,,,,
a1,12,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a1,12,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a1,12,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a1,12,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a1,12,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a1,12,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a1,12,1,headcap,19990615,,,,,,,,,,,,,,,
a1,12,1,other,19990615,,,,,,,,,,,,,,,
a1,12,1,volume ml,19990615,0,,,,,,,,,,,,,,
a1,13,1,Wyeomyia,19990615,0,,,,,,,,,,,,,,
a1,13,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,13,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,13,1,Sarraceniopus,19990615,4,,,,,,,,,,,,,,
a1,13,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,13,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,13,1,headcap,19990615,1,,,,,,,,,,,,,,
a1,13,1,other,19990615,0,,,,,,,,,,,,,,
a1,13,1,volume ml,19990615,2,,,,,,,,,,,,,,
a1,14,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a1,14,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a1,14,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a1,14,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a1,14,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a1,14,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a1,14,1,headcap,19990615,,,,,,,,,,,,,,,
a1,14,1,other,19990615,,,,,,,,,,,,,,,
a1,14,1,volume ml,19990615,0,,,,,,,,,,,,,,
a1,15,1,Wyeomyia,19990615,0,,,,,,,,,,,,,,
a1,15,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,15,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,15,1,Sarraceniopus,19990615,2,,,,,,,,,,,,,,
a1,15,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,15,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,15,1,headcap,19990615,3,,,,,,,,,,,,,,
a1,15,1,other,19990615,,,,,,,,,,,,,,,
a1,15,1,volume ml,19990615,1.5,,,,,,,,,,,,,,
a1,16,1,Wyeomyia,19990615,0,,,,,,,,,,,,,,
a1,16,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,16,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,16,1,Sarraceniopus,19990615,2,,,,,,,,,,,,,,
a1,16,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,16,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,16,1,headcap,19990615,2,,,,,,,,,,,,,,
a1,16,1,other,19990615,0,,,,,,,,,,,,,,
a1,16,1,volume ml,19990615,5,,,,,,,,,,,,,,
a1,17,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a1,17,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a1,17,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a1,17,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a1,17,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a1,17,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a1,17,1,headcap,19990615,,,,,,,,,,,,,,,
a1,17,1,other,19990615,,,,,,,,,,,,,,,
a1,17,1,volume ml,19990615,0,,,,,,,,,,,,,,
a1,18,1,Wyeomyia,19990615,0,,,,,,,,,,,,,,
a1,18,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,18,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,18,1,Sarraceniopus,19990615,2,,,,,,,,,,,,,,
a1,18,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,18,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,18,1,headcap,19990615,4,,,,,,,,,,,,,,
a1,18,1,other,19990615,0,,,,,,,,,,,,,,
a1,18,1,volume ml,19990615,5,,,,,,,,,,,,,,
a1,19,1,Wyeomyia,19990615,0,,,,,,,,,,,,,,
a1,19,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,19,1,Blaesoxipha,19990615,1,,,,,,,,,,,,,,
a1,19,1,Sarraceniopus,19990615,0,,,,,,,,,,,,,,
a1,19,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,19,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,19,1,headcap,19990615,2,,,,,,,,,,,,,,
a1,19,1,other,19990615,0,,,,,,,,,,,,,,
a1,19,1,volume ml,19990615,4,,,,,,,,,,,,,,
a1,20,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a1,20,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a1,20,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a1,20,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a1,20,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a1,20,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a1,20,1,headcap,19990615,,,,,,,,,,,,,,,
a1,20,1,other,19990615,,,,,,,,,,,,,,,
a1,20,1,volume ml,19990615,0,,,,,,,,,,,,,,
a2,1,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,1,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,1,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,1,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,1,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,1,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,1,1,headcap,19990615,,,,,,,,,,,,,,,
a2,1,1,other,19990615,,,,,,,,,,,,,,,
a2,1,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,2,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,2,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,2,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,2,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,2,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,2,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,2,1,headcap,19990615,,,,,,,,,,,,,,,
a2,2,1,other,19990615,,,,,,,,,,,,,,,
a2,2,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,3,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,3,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,3,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,3,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,3,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,3,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,3,1,headcap,19990615,,,,,,,,,,,,,,,
a2,3,1,other,19990615,,,,,,,,,,,,,,,
a2,3,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,4,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,4,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,4,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,4,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,4,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,4,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,4,1,headcap,19990615,,,,,,,,,,,,,,,
a2,4,1,other,19990615,,,,,,,,,,,,,,,
a2,4,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,5,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,5,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,5,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,5,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,5,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,5,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,5,1,headcap,19990615,,,,,,,,,,,,,,,
a2,5,1,other,19990615,,,,,,,,,,,,,,,
a2,5,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,6,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,6,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,6,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,6,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,6,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,6,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,6,1,headcap,19990615,,,,,,,,,,,,,,,
a2,6,1,other,19990615,,,,,,,,,,,,,,,
a2,6,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,7,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,7,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,7,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,7,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,7,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,7,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,7,1,headcap,19990615,,,,,,,,,,,,,,,
a2,7,1,other,19990615,,,,,,,,,,,,,,,
a2,7,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,8,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,8,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,8,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,8,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,8,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,8,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,8,1,headcap,19990615,,,,,,,,,,,,,,,
a2,8,1,other,19990615,,,,,,,,,,,,,,,
a2,8,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,9,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,9,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,9,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,9,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,9,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,9,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,9,1,headcap,19990615,,,,,,,,,,,,,,,
a2,9,1,other,19990615,,,,,,,,,,,,,,,
a2,9,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,10,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,10,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,10,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,10,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,10,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,10,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,10,1,headcap,19990615,,,,,,,,,,,,,,,
a2,10,1,other,19990615,,,,,,,,,,,,,,,
a2,10,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,11,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,11,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,11,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,11,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,11,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,11,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,11,1,headcap,19990615,,,,,,,,,,,,,,,
a2,11,1,other,19990615,,,,,,,,,,,,,,,
a2,11,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,12,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,12,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,12,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,12,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,12,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,12,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,12,1,headcap,19990615,,,,,,,,,,,,,,,
a2,12,1,other,19990615,,,,,,,,,,,,,,,
a2,12,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,13,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,13,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,13,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,13,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,13,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,13,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,13,1,headcap,19990615,,,,,,,,,,,,,,,
a2,13,1,other,19990615,,,,,,,,,,,,,,,
a2,13,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,14,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,14,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,14,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,14,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,14,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,14,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,14,1,headcap,19990615,,,,,,,,,,,,,,,
a2,14,1,other,19990615,,,,,,,,,,,,,,,
a2,14,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,15,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,15,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,15,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,15,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,15,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,15,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,15,1,headcap,19990615,,,,,,,,,,,,,,,
a2,15,1,other,19990615,,,,,,,,,,,,,,,
a2,15,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,16,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,16,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,16,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,16,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,16,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,16,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,16,1,headcap,19990615,,,,,,,,,,,,,,,
a2,16,1,other,19990615,,,,,,,,,,,,,,,
a2,16,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,17,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,17,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,17,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,17,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,17,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,17,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,17,1,headcap,19990615,,,,,,,,,,,,,,,
a2,17,1,other,19990615,,,,,,,,,,,,,,,
a2,17,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,18,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,18,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,18,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,18,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,18,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,18,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,18,1,headcap,19990615,,,,,,,,,,,,,,,
a2,18,1,other,19990615,,,,,,,,,,,,,,,
a2,18,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,19,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,19,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,19,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,19,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,19,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,19,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,19,1,headcap,19990615,,,,,,,,,,,,,,,
a2,19,1,other,19990615,,,,,,,,,,,,,,,
a2,19,1,volume ml,19990615,,,,,,,,,,,,,,,
a2,20,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a2,20,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a2,20,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a2,20,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a2,20,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a2,20,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a2,20,1,headcap,19990615,,,,,,,,,,,,,,,
a2,20,1,other,19990615,,,,,,,,,,,,,,,
a2,20,1,volume ml,19990615,,,,,,,,,,,,,,,
a3,1,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a3,1,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a3,1,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a3,1,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a3,1,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a3,1,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a3,1,1,headcap,19990615,,,,,,,,,,,,,,,
a3,1,1,other,19990615,,,,,,,,,,,,,,,
a3,1,1,volume ml,19990615,,,,,,,,,,,,,,,
a3,2,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a3,2,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a3,2,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a3,2,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a3,2,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a3,2,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a3,2,1,headcap,19990615,,,,,,,,,,,,,,,
a3,2,1,other,19990615,,,,,,,,,,,,,,,
a3,2,1,volume ml,19990615,,,,,,,,,,,,,,,
a3,3,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a3,3,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a3,3,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a3,3,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a3,3,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a3,3,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a3,3,1,headcap,19990615,,,,,,,,,,,,,,,
a3,3,1,other,19990615,,,,,,,,,,,,,,,
a3,3,1,volume ml,19990615,,,,,,,,,,,,,,,
a3,4,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a3,4,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a3,4,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a3,4,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a3,4,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a3,4,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a3,4,1,headcap,19990615,,,,,,,,,,,,,,,
a3,4,1,other,19990615,,,,,,,,,,,,,,,
a3,4,1,volume ml,19990615,,,,,,,,,,,,,,,
a3,5,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a3,5,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a3,5,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a3,5,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a3,5,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a3,5,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a3,5,1,headcap,19990615,,,,,,,,,,,,,,,
a3,5,1,other,19990615,,,,,,,,,,,,,,,
a3,5,1,volume ml,19990615,,,,,,,,,,,,,,,
a3,6,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a3,6,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a3,6,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a3,6,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a3,6,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a3,6,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a3,6,1,headcap,19990615,,,,,,,,,,,,,,,
a3,6,1,other,19990615,,,,,,,,,,,,,,,
a3,6,1,volume ml,19990615,,,,,,,,,,,,,,,
a3,7,1,Wyeomyia,19990615,,,,,,,,,,,,,,,
a3,7,1,Metriocnemus,19990615,,,,,,,,,,,,,,,
a3,7,1,Blaesoxipha,19990615,,,,,,,,,,,,,,,
a3,7,1,Sarraceniopus,19990615,,,,,,,,,,,,,,,
a3,7,1,Habrotrocha,19990615,,,,,,,,,,,,,,,
a3,7,1,rotvol ml,19990615,,,,,,,,,,,,,,,
a3,7,1,headcap,19990615,,,,,,,,,,,,,,,
